config_path,episode,steps,reward,evacuated,deactivated
./EVAL/config_1.json,1,29,39.9012,4,0
./EVAL/config_1.json,2,24,39.995400000000004,4,0
./EVAL/config_1.json,3,25,39.9908,4,0
./EVAL/config_1.json,4,22,40.098800000000004,4,0
./EVAL/config_1.json,5,26,40.0026,4,0
./EVAL/config_1.json,6,24,40.053000000000004,4,0
./EVAL/config_1.json,7,23,39.99439999999999,4,0
./EVAL/config_1.json,8,34,39.903600000000004,4,0
./EVAL/config_1.json,9,22,40.0668,4,0
./EVAL/config_1.json,10,31,39.891,4,0
./EVAL/config_2.json,1,26,39.914300000000004,4,0
./EVAL/config_2.json,2,30,39.8172,4,0
./EVAL/config_2.json,3,32,39.748200000000004,4,0
./EVAL/config_2.json,4,26,39.9806,4,0
./EVAL/config_2.json,5,27,39.9832,4,0
./EVAL/config_2.json,6,24,40.0566,4,0
./EVAL/config_2.json,7,28,39.93,4,0
./EVAL/config_2.json,8,27,39.964800000000004,4,0
./EVAL/config_2.json,9,34,39.833600000000004,4,0
./EVAL/config_2.json,10,29,39.9258,4,0
./EVAL/config_3.json,1,44,39.259800000000006,4,0
./EVAL/config_3.json,2,43,39.330400000000004,4,0
./EVAL/config_3.json,3,63,-651.6223,2,2
./EVAL/config_3.json,4,78,-661.7164,0,4
./EVAL/config_3.json,5,8,-80.2762,0,4
./EVAL/config_3.json,6,26,-630.2143,1,3
./EVAL/config_3.json,7,33,-890.2413,1,3
./EVAL/config_3.json,8,27,-630.3255,1,3
./EVAL/config_3.json,9,27,-710.1823,1,3
./EVAL/config_3.json,10,29,-510.51179999999994,1,3
./EVAL/config_4.json,1,46,39.333600000000004,4,0
./EVAL/config_4.json,2,46,-320.88810000000007,3,1
./EVAL/config_4.json,3,41,-271.89320000000004,1,3
./EVAL/config_4.json,4,51,-940.7965,1,3
./EVAL/config_4.json,5,41,39.33500000000001,4,0
./EVAL/config_4.json,6,37,39.415,4,0
./EVAL/config_4.json,7,106,-1132.8326999999997,2,2
./EVAL/config_4.json,8,42,-632.6149999999999,0,4
./EVAL/config_4.json,9,43,-400.8320999999999,3,1
./EVAL/config_4.json,10,46,-600.9904000000001,2,2
./EVAL/config_5.json,1,37,-841.4039,0,4
./EVAL/config_5.json,2,27,-780.5799,0,4
./EVAL/config_5.json,3,54,-1191.4388,1,3
./EVAL/config_5.json,4,61,-1461.3713000000002,1,3
./EVAL/config_5.json,5,45,-901.2764,1,3
./EVAL/config_5.json,6,50,-411.2616,3,1
./EVAL/config_5.json,7,66,37.8962,4,0
./EVAL/config_5.json,8,70,37.28040000000001,4,0
./EVAL/config_5.json,9,75,-1322.2102000000002,1,3
./EVAL/config_5.json,10,32,-451.82519999999994,0,4
./EVAL/config_6.json,1,61,-533.8059000000001,0,4
./EVAL/config_6.json,2,73,-453.44370000000004,3,1
./EVAL/config_6.json,3,66,-572.2237000000002,3,1
./EVAL/config_6.json,4,69,-602.3294999999999,3,1
./EVAL/config_6.json,5,94,-872.4262000000001,2,2
./EVAL/config_6.json,6,77,-1371.8856000000003,2,2
./EVAL/config_6.json,7,21,-191.26659999999998,0,4
./EVAL/config_6.json,8,29,-331.5227,0,4
./EVAL/config_6.json,9,49,-722.1455,0,4
./EVAL/config_6.json,10,47,-641.3191999999999,2,2
./EVAL/config_7.json,1,74,-1313.9173999999998,1,3
./EVAL/config_7.json,2,63,-504.15360000000015,2,2
./EVAL/config_7.json,3,136,-3185.2683000000006,1,3
./EVAL/config_7.json,4,85,-265.68250000000006,3,1
./EVAL/config_7.json,5,71,-693.7475999999999,2,2
./EVAL/config_7.json,6,78,35.443,4,0
./EVAL/config_7.json,7,75,-1124.3053,1,3
./EVAL/config_7.json,8,75,-905.1856,0,4
./EVAL/config_7.json,9,92,-44.98800000000001,3,1
./EVAL/config_7.json,10,92,-1903.9596000000001,1,3
./EVAL/config_8.json,1,18,-261.6207,0,4
./EVAL/config_8.json,2,61,36.82920000000001,4,0
./EVAL/config_8.json,3,62,36.8122,4,0
./EVAL/config_8.json,4,54,-363.788,0,4
./EVAL/config_8.json,5,76,-684.1542000000001,0,4
./EVAL/config_8.json,6,51,-792.5515000000001,1,3
./EVAL/config_8.json,7,58,-413.0557999999999,1,3
./EVAL/config_8.json,8,56,-362.62250000000006,3,1
./EVAL/config_8.json,9,35,-243.1041,0,4
./EVAL/config_8.json,10,43,-393.41059999999993,0,4
./EVAL/config_9.json,1,96,-1764.719000000001,2,2
./EVAL/config_9.json,2,100,-2913.9323999999997,0,4
./EVAL/config_9.json,3,29,-811.2722,0,4
./EVAL/config_9.json,4,35,-1031.5639,0,4
./EVAL/config_9.json,5,7,-190.3967,0,4
./EVAL/config_9.json,6,6,-120.55860000000001,0,4
./EVAL/config_9.json,7,4,-80.3664,0,4
./EVAL/config_9.json,8,6,-160.3552,0,4
./EVAL/config_9.json,9,73,-2072.479599999999,0,4
./EVAL/config_9.json,10,30,-861.3457999999998,0,4
./EVAL/config_10.json,1,62,-1742.2847999999997,0,4
./EVAL/config_10.json,2,23,-471.7562,0,4
./EVAL/config_10.json,3,99,-2533.5650000000005,1,3
./EVAL/config_10.json,4,32,-672.2226999999999,0,4
./EVAL/config_10.json,5,48,-655.3049,0,4
./EVAL/config_10.json,6,69,-1644.254,0,4
./EVAL/config_10.json,7,44,-863.2592,0,4
./EVAL/config_10.json,8,87,-2532.0535000000004,1,3
./EVAL/config_10.json,9,102,-2924.185299999999,0,4
./EVAL/config_10.json,10,29,-731.8004,0,4
